Brand,Model Name,Year,Price (USD),Mileage (km),Condition,City,Color,Battery (kWh),Range (km),Power (kW),0-100 km/h (s),Seller Type,Charging Type,Date Listed,Source
BYD,BYD Sealion 6,2024,45896.13150805678,18972.0,Fair,Battambang,Blue,18.3,80-100 PHEV,145,8.5,Dealer,GB-T/CCS2,24-01-2025,Synthetic (New Formula)
Zeekr,Zeekr 007,2024,64107.96342007049,30996.0,New,Phnom Penh,Blue,75/100,530-688,310,3.5,Dealer,GB-T/CCS2,16-12-2024,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2023,44440.538198354196,10197.0,Excellent,Siem Reap,Black,58/72.6,354-488,125,7.4,Private,GB-T/CCS2,5/2/2022,Synthetic (New Formula)
BYD,BYD Atto 2,2024,25041.44420570415,23736.0,New,Phnom Penh,Cosmos Black,45.1,312-401,130,7.9,Authorized Dealer,GB-T/CCS2,14-06-2024,Synthetic (New Formula)
BYD,BYD Tang,2025,58912.9499607801,11154.0,New,Phnom Penh,Grey,86.4/108.8,400-530,180,4.6,Authorized Dealer,GB-T/CCS2,13-02-2023,Synthetic (New Formula)
BYD,BYD Dolphin,2025,24321.366162356062,20853.0,Fair,Sihanoukville,Black,44.9/60.5,310-420,70,7.5,Authorized Dealer,GB-T/CCS2,3/4/2023,Synthetic (New Formula)
BYD,BYD Sealion 7,2022,45402.6592670107,24403.0,Like New,Kampot,White,71.8/91.3,460-567,230,4.5,Private,GB-T/CCS2,15-02-2025,Synthetic (New Formula)
Xiaomi,Xiaomi SU7,2025,79541.07296775002,37296.0,Like New,Phnom Penh,Silver,73.6/94.3,495-830,220,5.3,Dealer,GB-T/CCS2,3/12/2024,Synthetic (New Formula)
Tesla,Tesla Model Y,2024,58748.48777109274,12780.0,New,Sihanoukville,White,60/75/82,430-600,220,6.9,Dealer,GB-T/CCS2,28-12-2021,Synthetic (New Formula)
VinFast,VinFast VF 6,2022,27047.499888925046,28560.0,New,Sihanoukville,Black,59.6,399,110,,Private,GB-T/CCS2,21-11-2024,Synthetic (New Formula)
Avatr,Avatr 07,2023,51116.08407026843,27347.0,Like New,Phnom Penh,Grey,62.2/100.5,420-621,190,4.9,Dealer,GB-T/CCS2,26-05-2025,Synthetic (New Formula)
BYD,BYD Seal,2025,37031.688820484094,17388.0,Good,Phnom Penh,Green,61.4/82.5,400-550,150,3.8,Dealer,GB-T/CCS2,19-01-2024,Synthetic (New Formula)
Denza,Denza D9,2024,81677.77836302925,7924.0,Like New,Phnom Penh,Silver,103,600,230,6.9,Private,GB-T/CCS2,18-07-2024,Synthetic (New Formula)
BYD,BYD Sealion 6,2025,45687.36534909386,10329.0,New,Kampot,Blue,18.3,80-100 PHEV,145,8.5,Authorized Dealer,GB-T/CCS2,13-05-2024,Synthetic (New Formula)
MG,MG ZS EV,2024,29676.485997900978,20856.0,New,Phnom Penh,Silver,50.3/72.6,320-440,115,8.6,Private,GB-T/CCS2,25-04-2020,Synthetic (New Formula)
Nissan,Nissan Leaf,2022,31711.45806289135,47300.0,Fair,Siem Reap,Black,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,23-11-2022,Synthetic (New Formula)
VinFast,VinFast VF 8,2023,47588.14738495722,39100.0,New,Phnom Penh,White,82/87.5,420-500,150,5.5,Authorized Dealer,GB-T/CCS2,17-04-2024,Synthetic (New Formula)
BMW,BMW iX1,2025,52156.3215048257,0.0,Like New,Battambang,White,64.7,417,150,8.6,Dealer,GB-T/CCS2,24-02-2023,Synthetic (New Formula)
Zeekr,Zeekr 001,2024,84276.68875162692,56784.0,New,Sihanoukville,Blue,86/100,560-620,200,3.3,Private,GB-T/CCS2,11/8/2023,Synthetic (New Formula)
AITO,AITO M5,2022,47816.03123026424,14310.0,New,Phnom Penh,Red,40,200 PHEV,200,4.8,Authorized Dealer,GB-T/CCS2,13-01-2024,Synthetic (New Formula)
Tesla,Tesla Model 3,2021,51346.81393380579,27027.0,New,Phnom Penh,White,60/82,430-576,208,6.1,Private,GB-T/CCS2,9/12/2020,Synthetic (New Formula)
Hyundai,Hyundai Ioniq 5,2024,44181.75853521648,31745.0,New,Phnom Penh,Black,58/72.6,354-488,125,7.4,Dealer,GB-T/CCS2,24-07-2023,Synthetic (New Formula)
MG,MG 4 EV,2023,29056.754284825933,38480.0,New,Phnom Penh,Pearl White,51/64/77,350-520,125,7.7,Private,GB-T/CCS2,15-10-2023,Synthetic (New Formula)
Avatr,Avatr 07,2023,49894.09263942742,29146.0,Like New,Phnom Penh,White,62.2/100.5,420-621,190,4.9,Private,GB-T/CCS2,23-08-2025,Synthetic (New Formula)
Nissan,Nissan Leaf,2022,29418.972149460715,6880.0,Excellent,Phnom Penh,Grey,40/62,240-385,110,7.0,Authorized Dealer,GB-T/CCS2,12/2/2024,Synthetic (New Formula)
BYD,BYD Dolphin,2023,24717.18216278932,2268.0,Like New,Phnom Penh,Cosmos Black,44.9/60.5,310-420,70,7.5,Dealer,GB-T/CCS2,28-07-2023,Synthetic (New Formula)
Kia,Kia EV6,2025,50110.57535634611,20658.0,Fair,Phnom Penh,White,77.4,484,168,7.1,Authorized Dealer,GB-T/CCS2,25-10-2024,Synthetic (New Formula)
AION,AION Y Plus,2024,33472.8730038943,0.0,New,Phnom Penh,Blue,51.9/63.9,410-510,150,7.8,Private,GB-T/CCS2,9/7/2024,Synthetic (New Formula)
Toyota,Toyota bZ4X,2024,45741.02987088174,7956.0,Good,Phnom Penh,Pearl White,71.4,500,150,7.1,Private,GB-T/CCS2,7/1/2023,Synthetic (New Formula)
BYD,BYD Han,2024,59500.97155258358,8998.0,Fair,Phnom Penh,White,76.9/85.4,500-610,180,3.9,Dealer,GB-T/CCS2,18-05-2025,Synthetic (New Formula)
Mercedes,Mercedes EQB,2024,73895.00149278066,43953.0,New,Siem Reap,Black,66.5,419,168,8.0,Authorized Dealer,GB-T/CCS2,18-04-2023,Synthetic (New Formula)
